vehicle_id,pickup_location,capacity_kg,availability_time_ist,latitude,longitude
V001,Yeshwanthpur,500,2025-08-28 09:23:00,13.0285,77.5406
V002,Whitefield,500,2025-08-28 17:05:00,12.9698,77.7499
V003,Koramangala,1500,2025-08-28 17:58:00,12.9279,77.6271
V004,Koramangala,1000,2025-08-28 15:18:00,12.9279,77.6271
V005,Marathahalli,1000,2025-08-28 13:09:00,12.956,77.701
V006,Bengaluru Central,1000,2025-08-28 09:45:00,12.9716,77.5946
V007,Jayanagar,500,2025-08-28 13:39:00,12.925,77.5938
V008,Whitefield,5000,2025-08-28 16:03:00,12.9698,77.7499
V009,Yeshwanthpur,500,2025-08-28 10:44:00,13.0285,77.5406
V010,Whitefield,5000,2025-08-28 06:06:00,12.9698,77.7499
V011,Marathahalli,2000,2025-08-28 08:43:00,12.956,77.701
V012,Koramangala,500,2025-08-28 17:54:00,12.9279,77.6271
V013,Hebbal,500,2025-08-28 13:12:00,13.0358,77.597
V014,Whitefield,500,2025-08-28 11:48:00,12.9698,77.7499
V015,Bengaluru Central,1000,2025-08-28 10:44:00,12.9716,77.5946
V016,Hebbal,1000,2025-08-28 08:39:00,13.0358,77.597
V017,Marathahalli,5000,2025-08-28 09:40:00,12.956,77.701
V018,Whitefield,5000,2025-08-28 11:44:00,12.9698,77.7499
V019,Hebbal,500,2025-08-28 07:44:00,13.0358,77.597
V020,Whitefield,5000,2025-08-28 07:34:00,12.9698,77.7499
